X直播電視臺 油管頻道
測試頻道,#genre#
明珠台,http://61.238.6.49:8001/bysid/2
本港台,https://15813114727637862976168173814320.live.prod.hkatv.com/a1_cbr_lo.m3u8
本港台,http://103.145.39.149/VOP1212.php?qq2248906947&play&vkeys=dmlkJTNEaXB0djM0NSUyM3RpZCUzRGd0JTIzaWQlM0QxNQ__
无线星河,http://xggj04450269.gfzyw.cn/kptv70.php?vid=hkds&tid=gt&id=17
粤语原声,http://a.315600.xyz/dl/aqy.php?id=380719622
粤语影片1,https://cn-jssz-cmcc-live-01.bilivideo.com/live-bvc/614163/live_342827840_74242052.m3u8
粤语影片,https://cn-jssz-cmcc-live-01.bilivideo.com/live-bvc/933996/live_88547185_8335137.m3u8
老电影,http://ikands.xyz/dl/qiha?xid=bili&id=21759196
金庸,http://www.dszbdq.cn/play/migu0619.php?id=625774640
壹新闻台,vjms://122.155.180.8:8500:5021/live/cid=445
壹新闻,http://nb.iptv88888.xyz/hls/yixinwen.m3u8
三立新闻台,http://60.199.188.66/HLS/WG_ETTV-N/02.m3u8#http://60.199.188.66/HLS/WG_ETTV-N/01.m3u8
三立新聞,http://xggj04450269.gfzyw.cn/kptv70.php?vid=hkds&tid=gt&id=48&p=1
三立新聞,http://xggj04450269.gfzyw.cn/kptv70.php?vid=hkds&tid=gt&id=48
中天新闻,http://104.250.154.42:8080/ZZ_zhongtiannews/ZZ_zhongtiannews.m3u8#http://192.154.103.75:8080/ZZ_zhongtiannews/ZZ_zhongtiannews.m3u8
中天新聞,http://xggj04450269.gfzyw.cn/kptv70.php?vid=hkds&tid=gt&id=44
東森新聞台,http://104.250.154.42:8080/ZZ_dongsenxinwen/ZZ_dongsenxinwen.m3u8#http://192.154.103.75:8080/ZZ_dongsenxinwen/ZZ_dongsenxinwen.m3u8
台视新闻,http://104.250.154.42:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8#http://192.154.103.75:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8
TVBS新闻,http://60.199.188.66/HLS/WG_TVBS-N/02.m3u8#http://60.199.188.66/HLS/WG_TVBS-N/01.m3u8 
TVBS新聞,http://xggj04450269.gfzyw.cn/kptv70.php?vid=hkds&tid=gt&id=45&p=1
中视,http://104.250.154.42:8080/ZZ_zhongshi/ZZ_zhongshi.m3u8
华视,http://104.250.154.42:8080/ZZ_huashi/ZZ_huashi.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_3.m3u8
MTV,http://154.90.1.188/gz168.php?id=mtv

ViuTVsix,http://61.238.6.49:8000/bysid/96
ViuTV,http://61.238.6.49:8000/bysid/99
翡翠台,http://www.aclive.live/dvr/2ee368c0/5tg7hf6c/index.m3u8
J2,http://www.aclive.live/dvr/2ee368c0/xmj3kp59/index.m3u8
TVB新聞台,http://45.93.217.106/jiuban/hg.php?id=1
有线新闻4,http://liveicm3.utvlive.top/live/4cc64fb362004798b222978935590b2c/1980ba5c365e4f049f99aced1277303c-2.m3u8
TVB財經台,http://45.93.217.106/jiuban/hg.php?id=2
TVB新闻台,http://tv.sason.xyz/proxy/tvb.php?id=xw
TVB财经台,http://tv.sason.xyz/proxy/tvb.php?id=cj
TVBS新聞台,http://60.199.188.65/HLS/WG_TVBS-N/index.m3u8
三立新聞台,http://60.199.188.65/HLS/WG_ETTV-N/index.m3u8
翡翠台[1280*720],http://live.crhoy.ml:8080/Yucuanli/Yucuanli/1
明珠台[1280*720],http://live.crhoy.ml:8080/Yucuanli/Yucuanli/2
无线新聞[1280*720],http://live.crhoy.ml:8080/Yucuanli/Yucuanli/3
有线新聞[1920*1080],http://live.crhoy.ml:8080/Yucuanli/Yucuanli/4
Viutv[1280*720],http://live.crhoy.ml:8080/Yucuanli/Yucuanli/5
无线财经[1280*720],http://live.crhoy.ml:8080/Yucuanli/Yucuanli/7
J2[1280*720],http://live.crhoy.ml:8080/Yucuanli/Yucuanli/8
香港開電視[1280*720],http://live.crhoy.ml:8080/Yucuanli/Yucuanli/9
港台31[640*360],http://live.crhoy.ml:8080/Yucuanli/Yucuanli/12
港台32[853*480],http://live.crhoy.ml:8080/Yucuanli/Yucuanli/13
TVB星河[1280*720],http://live.crhoy.ml:8080/Yucuanli/Yucuanli/14
有线娛樂[1280*720],http://live.crhoy.ml:8080/Yucuanli/Yucuanli/15
有线18台[1280*720],http://live.crhoy.ml:8080/Yucuanli/Yucuanli/17
有线電影一台[1920*1080],http://live.crhoy.ml:8080/Yucuanli/Yucuanli/18
HK開電視(需代理),http://media.fantv.hk/m3u8/archive/channel2_stream1.m3u8
J2,http://www.aclive.live/dvr/2ee368c0/xmj3kp59/index.m3u8
RTHK香港电台,https://rthkvod1-vh.akamaihd.net/i/mp4/tv/2019/THKCCT2019M04701828.smil/index_1000000_av.m3u8
TVB 无线翡翠,http://danielwu.gz01.bdysite.com/iptv/?id=tvb
TVB新聞台,http://45.93.217.106/jiuban/hg.php?id=1
TVB新闻台2,http://tv.sason.xyz/proxy/tvb.php?id=xw
TVB無綫新闻,http://315600.xyz/dl/tvb.php?id=inewshd
TVB財經台,http://45.93.217.106/jiuban/hg.php?id=2
TVB财经台2,http://tv.sason.xyz/proxy/tvb.php?id=cj
ViuTV,http://61.238.6.49:8000/bysid/99
ViuTV6,http://61.238.6.49:8000/bysid/96
无线新闻,http://v.exdnd.com/dl/proxy.php?vid=iptv805&tid=gt&id=9
无线新闻1,http://520574.xyz/dl/tvb.php?id=inewshd
无线新闻3,http://danielwu.gz01.bdysite.com/iptv/?id=wxxw2
无线财经台,http://61.238.6.49:8001/bysid/85
有线新闻,http://liveicm2.utvlive.top/live/4cc64fb362004798b222978935590b2c/1980ba5c365e4f049f99aced1277303c-3.m3u8
港台電視31,https://www.rthk.hk/feeds/dtt/rthktv31_https.m3u8
翡翠台,http://www.aclive.live/dvr/2ee368c0/5tg7hf6c/index.m3u8
Happy,https://717616144.r.worldssl.net/717616144/tv/ttv12/chunklist_w1523462550.m3u8
松视1台,https://717616144.r.worldssl.net/717616144/tv/ttv11/chunklist_w1523462549.m3u8


香港☒頻道,#genre#
CCTV13,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225817/index.m3u8
CCTV13,https://jwplay.hebyun.com.cn/live/cctv13/1500k/tzwj_video.m3u8
CCTV13,rtmp://ivi.bupt.edu.cn:1935/livetv/cctv13
翡翠台,https://cdn.hkdtmb.com/hls/81/index.m3u8
翡翠華麗台,http://198.16.106.62:8278/streams/d/Wlt/playlist.m3u8
翡翠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=1&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1&lv=1&c=0&s=4&v=100&wh=16:9&p=1
翡翠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=&Provider_id=&Fsv_chan_hls_se_idx=188
翡翠台,http://livetv.dnsfor.me/channel.18.m3u8
翡翠台,p2p://fccseuro.pvbox.live:18912/5d1220350000ba27f9471ccdeb9a8058.ts#http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=&Provider_id=&Fsv_chan_hls_se_idx=188,p2p://fccsovh.pvbox.live:18912/5d1220350000ba27f9471ccdeb9a8058.ts
J2,https://cdn.hkdtmb.com/hls/82/index.m3u8
J2,p2p://fccseuro.pvbox.live:18912/5dbeb1ce0004b0ebd816f2f1ed100d7b.ts#p2p://fccsovh.pvbox.live:18912/5dbeb1ce0004b0ebd816f2f1ed100d7b.ts
明珠台,http://cdn.hkdtmb.com/hls/84/index.m3u8
明珠台,http://116.199.5.52:8114/00000000/index.m3u8?Fsv_chan_hls_se_idx=12&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
明珠台,http://116.199.5.51:8114/00000000/2e368e04c76446bc9d30ca7a9f934dae/index.m3u8?Fsv_cid=1034&Fsv_chan_hls_se_idx=12&Fsv_ctype=LIVES&version=9&Fsv_rate_id=1&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=7f88be5fb6fd426494f6aa240f1dc7a9&Provider_id=00000000&Fsv_filetype=1&Fsv_ShiftEnable=0&Fsv_SV_PARAM1=0&Fsv_ShiftTsp=240&Fsv_CMSID=00000000&AuthInfo=P2ZSH2gNMZ8aiVfV%2BjCYczoGsAYoDo4KY5I3eHfJhGTKdSzgLwCHoSet9it9fXrMLwehJxh9gmO%2F%0AOFrWyxI%2BtteLTJnZKT7Lg8BRYQNXMQU%3D%0A
明珠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=12&Fsv_rate_id=1&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
明珠台,p2p://fccseuro.pvbox.live:18912/5dbeb1ca000ccc5031839eb645936fa4.ts#p2p://fccsovh.pvbox.live:18912/5dbeb1ca000ccc5031839eb645936fa4.ts
TVB星河頻道,http://50.7.161.82:8278/streams/d/Xinhe/playlist.m3u8
TVB星河頻道,http://50.7.161.82:8278/streams/d/Xinhe/./playlist.m3u8
有線新聞台,http://198.16.106.62:8278/streams/d/hkcnews_twn/playlist.m3u8
有線直播新聞台,http://hkyx.love.sky-media.tk/test/index.php?id=39
無線新聞,http://cdn.hkdtmb.com/hls/83/index.m3u8
無線新聞,http://livetv.dnsfor.me/channel.10.m3u8
無線新聞,p2p://fccseuro.pvbox.live:18912/5dbeb1c40003f9a457dd11d6cb7a10d0.ts#p2p://fccsovh.pvbox.live:18912/5dbeb1c40003f9a457dd11d6cb7a10d0.ts
無線財經,http://cdn.hkdtmb.com/hls/85/index.m3u8
無線財經,p2p://fccseuro.pvbox.live:18912/5dbeb1cc0007501623a21bd1ab71921c.ts#p2p://fccsovh.pvbox.live:18912/5dbeb1cc0007501623a21bd1ab71921c.ts
RHK31,https://cdn.hkdtmb.com/hls/31/index.m3u8
RHK32,https://cdn.hkdtmb.com/hls/32/index.m3u8
ViuTV,https://cdn.hkdtmb.com/hls/99/index.m3u8
ViuTV,p2p://fccseuro.pvbox.live:18912/5dbeb1c70009386833caae6ccb5d0800.ts#p2p://fccsovh.pvbox.live:18912/5dbeb1c70009386833caae6ccb5d0800.ts
ViuTV,http://61.238.6.49:8000/bysid/99
ViuTV6,http://61.238.6.49:8000/bysid/96
ViuTV6,http://cdn.hkdtmb.com/hls/96/index.m3u8
ViuTV6,https://cdn.hkdtmb.com/hls/96/index.m3u8
ViuTV6,p2p://fccseuro.pvbox.live:18912/5dbeb1c9000305c43cdb0149358f3a61.ts#p2p://fccsovh.pvbox.live:18912/5dbeb1c9000305c43cdb0149358f3a61.ts
香港開電視,http://media.fantv.hk/m3u8/archive/channel2_stream1.m3u8
天映電影,http://210.210.155.35/qwr9ew/s/s33/01.m3u8
天映電影2,http://185.180.221.194:8278/streams/d/Celestial/playlist.m3u8
天映電影2,http://topwin-tv.my.id/2/master.m3u8?id=celestialmovie
天映經典,http://50.7.161.82:8278/streams/d/Celestial2/playlist.m3u8
天映經典2,http://185.180.221.194:8278/streams/d/Celestial2/playlist.m3u8
鳳凰中文,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzw
鳳凰中文,http://stream.guihet.com/t/ifeng2.php?id=2
鳳凰中文,http://223.110.245.139/PLTV/3/224/3221226922/index.m3u8
鳳凰資訊,http://117.169.124.43:6610/ysten-businessmobile/live/fhzixun/index.m3u8
鳳凰資訊,http://117.169.124.37:6610/ysten-businessmobile/live/fhzixun/1.m3u8
鳳凰資訊,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzx
鳳凰資訊,http://stream.guihet.com/t/ifeng2.php?id=1
鳳凰香港,http://stream.guihet.com/t/ifeng2.php?id=3
鳳凰香港,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8
鳳凰電影,rtmp://ivi.bupt.edu.cn:1935/livetv/fhdy
Now Sports Prime 630,http://livetv.dnsfor.me/channel.12.m3u8
星空衛視,rtmp://58.200.131.2:1935/livetv/startv

Channel[V],rtmp://58.200.131.2:1935/livetv/channelv
Discovery,rtmp://58.200.131.2:1935/livetv/discovery
國家地理頻道(臺灣),rtmp://58.200.131.2:1935/livetv/natlgeo

台灣©頻道,#genre#

HGTV居家樂活,http://50.7.161.82:8278/streams/d/HGTV/playlist.m3u8
HGTV居家樂活,http://185.180.221.194:8278/streams/d/HGTV/playlist.m3u8
tvN,p2p://fccseuro.pvbox.live:18912/5b14090b000aaf9d29b8f9f0baa85606.ts#p2p://fccsovh.pvbox.live:18912/5b14090b000aaf9d29b8f9f0baa85606.ts
FOX,http://198.16.106.62:8278/streams/d/foxhd_zero/playlist.m3u8
中視,tvbus://6NwPWjgQKaW6Hcq9PPhazh4cPxh4xCmKC7zq9hpbU7oJknuasWmpwL5Ji1Exb#p2p://fccsovh.pvbox.live:18912/5c2dd743000549bf6154a8985cd9ca6d.ts#p2p://fccsovh.pvbox.live:18912/5b14095f00075e71dbcaee608f5a7f3c.ts#p2p://fccsovh.pvbox.live:18912/5c72484b000b1d091d51edb7087b7686.ts#p2p://fccseuro.pvbox.live:18912/5c2dd743000549bf6154a8985cd9ca6d.ts#rtmp://59.124.75.130/sat/tv091
華視,tvbus://5uupLdVx6j2ddXjJwMTC1uPCVmXLkzyxvzJvx1XrGD5vyjEPSJVqKTd8FuMmx#tvbus://8T3wfVYkDvT5Wwrv3VVAW8DGzMeJxkX5Q77bkcg1ZQmk7gcWrX#p2p://fccsovh.pvbox.live:18912/5c2dd7470006324161ec704805b9e422.ts#p2p://fccsovh.pvbox.live:18912/5b14095f000efa0ea879c11942a356bd.ts#p2p://fccseuro.pvbox.live:18912/5c72484f000e498b1d51fe2201d92dd3.ts#p2p://fccseuro.pvbox.live:18912/5c2dd7470006324161ec704805b9e422.ts#rtmp://59.124.75.130/sat/tv111
台視,p2p://fccseuro.pvbox.live:18912/5b14095f000570be7d87f46e1fdec9ae.ts#p2p://fccsovh.pvbox.live:18912/5b14095f000570be7d87f46e1fdec9ae.ts
台視,rtmp://59.124.75.130/sat/tv071
民視,http://198.16.106.62:8278/ftvhd_taiwan/playlist.m3u8?tid=15141291&ct=17990&tsum=ab93fcdf581cc3f483e1ceede13312ce
民視,p2p://fccsovh.pvbox.live:18912/5c2dd73c0002b6076c316efef65b6881.ts#p2p://fccsovh.pvbox.live:18912/5b1409690006a24a6938240e2c12a4c4.ts#p2p://fccseuro.pvbox.live:18912/5c72483f0003db4b1d51bcf349367c26.ts#p2p://fccseuro.pvbox.live:18912/5c2dd73c0002b6076c316efef65b6881.ts
民視,rtmp://59.124.75.130/sat/tv051
公視,p2p://fccseuro.pvbox.live:18912/5b1409600001a0b2b34e074d843505c0.ts#p2p://fccsovh.pvbox.live:18912/5b1409600001a0b2b34e074d843505c0.ts
TVBS,http://198.16.106.62:8278/streams/d/tvbs/playlist.m3u8
TVBS,http://198.16.106.62:8278/tvbs/playlist.m3u8?tid=m0f93590c7a75&ct=18335&tsum=d55d4e5f3a3d424454dbc8d70e3bb1b6
TVBS歡樂台,p2p://fccsovh.pvbox.live:18912/5b1409600006657bf3521814c47521af.ts#p2p://fccseuro.pvbox.live:18912/5c2dd759000397a1f785f6a7f64171ac.ts#p2p://fccseuro.pvbox.live:18912/5c72488a000a56b71d52e3a07060345e.ts#p2p://fccseuro.pvbox.live:18912/5b1409600006657bf3521814c47521af.ts
TVBS歡樂台,p2p://fccsovh.pvbox.live:18912/5b1409600006657bf3521814c47521af.ts#p2p://fccseuro.pvbox.live:18912/5c2dd759000397a1f785f6a7f64171ac.ts#p2p://fccseuro.pvbox.live:18912/5c72488a000a56b71d52e3a07060345e.ts#p2p://fccseuro.pvbox.live:18912/5b1409600006657bf3521814c47521af.ts
TVBS歡樂台,rtmp://59.124.75.130/sat/tv421
TVBS歡樂台,rtmp://59.124.75.130:1935/sat/tv421
中天綜合台,http://198.16.106.62:8278/streams/d/ctizhonghe/playlist.m3u8
中天綜合台,http://198.16.106.62:8278/ctizhonghe/playlist.m3u8?tid=m85005aeec85b14021104&ct=17874&tsum=69f19f4b12ab79d2ee683b28cdb1c8ca
中天綜合台,p2p://fccsovh.pvbox.live:18912/5b14096a0007d345099b2cab04de36b4.ts#p2p://fccsovh.pvbox.live:18912/5b14096a0007d3450c87c1ef7ed574cc.ts#http://192.154.103.75:8080//ZZ_zhongtianzonghe/ZZ_zhongtianzonghe.m3u8,p2p://fccseuro.pvbox.live:18912/5b14096a0007d345099b2cab04de36b4.ts
中天娛樂台,http://198.16.106.62:8278/streams/d/ctient/playlist.m3u8
中天娛樂台,p2p://fccsovh.pvbox.live:18912/5b1409f300034b9468d187e0e1ce2520.ts#p2p://fccseuro.pvbox.live:18912/5b1409f300034b9468d187e0e1ce2520.ts
三立綜合台,http://198.16.106.62:8278/sanlizhonghe/playlist.m3u8?tid=m3362167a08a014596868&ct=17874&tsum=4472a7c943b67bf52fe5e836ca9f3b6b
三立臺灣台,http://198.16.106.62:8278/sanlitaiwan/playlist.m3u8?tid=m92ccadc4dc3718157816&ct=17874&tsum=3570a8198ca0fb7ebb803807e38b33fb
三立都會台,p2p://fccseuro.pvbox.live:18912/5c2dd74e0008135f19666442e08f8a73.ts#p2p://fccsovh.pvbox.live:18912/5b14098f000d8c65aa7714d393792210.ts#p2p://fccseuro.pvbox.live:18912/5c72486f0000d4e31d5277b7483f11e3.ts#p2p://fccsovh.pvbox.live:18912/5c2dd74e0008135f19666442e08f8a73.ts
愛爾達影劇,p2p://fccseuro.pvbox.live:18912/5b1409dc0006a1ca305641ab9696976b#p2p://fccsovh.pvbox.live:18912/5b1409dc0006a1ca305641ab9696976b.ts#p2p://fccseuro.pvbox.live:18912/5b1409dc0006a1ca305641ab9696976b.ts
愛爾達綜合,p2p://fccseuro.pvbox.live:18912/5b1409db0002d1cf08b40d87eb24e73a#p2p://fccsovh.pvbox.live:18912/5b1409db0002d1cf08b40d87eb24e73a.ts#p2p://fccseuro.pvbox.live:18912/5b1409db0002d1cf08b40d87eb24e73a.ts
八大第一台,p2p://fccsovh.pvbox.live:18912/5b14096a0004400315488cff3fdbf3b5.ts#p2p://fccseuro.pvbox.live:18912/5b14096a0004400315488cff3fdbf3b5.ts
八大綜合台,p2p://fccsovh.pvbox.live:18912/5b14092c0004b9c210b0c400e8356e40.ts#http://104.250.154.42:8080/ZZ_zhongtianyazhou/ZZ_zhongtianyazhou.m3u8,p2p://fccseuro.pvbox.live:18912/5b14092c0004b9c210b0c400e8356e40.ts
緯來綜合台,p2p://fccseuro.pvbox.live:18912/5b1409230004f71efab2c84f47ebe4ef.ts#p2p://fccsovh.pvbox.live:18912/5b1409230004f71efab2c84f47ebe4ef.ts
緯來戲劇台,p2p://fccsovh.pvbox.live:18912/5b1409f3000a72b5e945fde38f88c8aa.ts#p2p://fccseuro.pvbox.live:18912/5c72488e000bae061d52f38e705751dd.ts#p2p://fccseuro.pvbox.live:18912/5b1409f3000a72b5e945fde38f88c8aa.ts
緯來育樂台,p2p://fccsovh.pvbox.live:18912/5b14092c000a35b5b875ce840ff0b5a3.ts#p2p://fccseuro.pvbox.live:18912/5b14092c000a35b5b875ce840ff0b5a3.ts
緯來育樂台,rtmp://59.124.75.130/sat/tv701
緯來育樂台,rtmp://59.124.75.130/sat/tv702
緯來育樂台,rtmp://59.124.75.130:1935/sat/tv701
緯來日本台,http://198.16.106.62:8278/streams/d/videolandjapan_zero/playlist.m3u8
緯來日本台,p2p://fccsovh.pvbox.live:18912/5b14092b000efa4c233af0e8a75243d8.ts#p2p://fccseuro.pvbox.live:18912/5c9ed33000006a62cb50798041a272c0.ts#p2p://fccseuro.pvbox.live:18912/5b14092b000efa4c233af0e8a75243d8.ts
緯來日本台,rtmp://59.124.75.130:1935/sat/tv521
緯來日本台,rtmp://59.124.75.130/sat/tv522
JET綜合台,p2p://fccsovh.pvbox.live:18912/5b1409f30001262751180c32d7f81d19.ts#p2p://fccseuro.pvbox.live:18912/5c724892000e3e1c1d5303da4a3c6c26.ts#p2p://fccseuro.pvbox.live:18912/5b1409f30001262751180c32d7f81d19.ts
國興衛視,p2p://fccsovh.pvbox.live:18912/5b1409f2000ebd78d6d3484d2e182303.ts#p2p://fccseuro.pvbox.live:18912/5b1409f2000ebd78d6d3484d2e182303.ts
衛視中文台,p2p://fccsovh.pvbox.live:18912/5b14096a00006f07db24be365821c0f3#p2p://fccseuro.pvbox.live:18912/5c2dd752000079be2a26f4d3f111382f#p2p://fccseuro.pvbox.live:18912/5c724873000682671d5288bf72c31a80#p2p://fccseuro.pvbox.live:18912/5b14096a00006f07db24be365821c0f3
BBCEarth,http://198.16.106.62:8278/streams/d/bbclifestyle_zero/playlist.m3u8
BBCEarth,p2p://fccseuro.pvbox.live:18912/5b1408f200071c8bda8dd5a44dfda4bb.ts#p2p://fccsovh.pvbox.live:18912/5b1408f200071c8bda8dd5a44dfda4bb.ts
BBCLifestyle,p2p://fccsovh.pvbox.live:18912/5b1408f2000906bdb5da58904b5c003c.ts#p2p://fccseuro.pvbox.live:18912/5b1408f2000906bdb5da58904b5c003c.ts
國家地理野生頻道,p2p://fccsovh.pvbox.live:18912/5b1409170007d342d4c16db15d8876c8.ts#p2p://fccseuro.pvbox.live:18912/5c7249fb000db88c1d5885e333974925.ts#p2p://fccseuro.pvbox.live:18912/5b1409170007d342d4c16db15d8876c8.ts
國家地理頻道,p2p://fccseuro.pvbox.live:18912/5c724a010005e9d11d589b4f1fc54b2b.ts#p2p://fccseuro.pvbox.live:18912/5c724a010005e9d11d589b4f1fc54b2b.ts#p2p://fccsovh.pvbox.live:18912/5c724a010005e9d11d589b4f1fc54b2b.ts
國家地理悠人頻道,p2p://fccsovh.pvbox.live:18912/5b14093f000b29ff7371d28209f33f5f.ts#p2p://fccseuro.pvbox.live:18912/5b14093f000b29ff7371d28209f33f5f.ts
動物星球,p2p://fccsovh.pvbox.live:18912/5b5939130005971d4f247d9ea9194679.ts#p2p://fccseuro.pvbox.live:18912/5b5939130005971d4f247d9ea9194679.ts
Discovery Eve,http://198.16.106.62:8278/streams/d/eve_zero/playlist.m3u8
Discovery,p2p://fccsovh.pvbox.live:18912/5b14092b000cd4e0b31a629500c1a30f.ts#p2p://fccseuro.pvbox.live:18912/5b14092b000cd4e0b31a629500c1a30f.ts
Discovery科學,p2p://fccsovh.pvbox.live:18912/5b14093f000e802bdf2de39b32af6f43.ts#p2p://fccseuro.pvbox.live:18912/5b14093f000e802bdf2de39b32af6f43.ts
MTV,p2p://fccsovh.pvbox.live:18912/5b1408f100084d6ada825c7c91f5af05.ts#p2p://fccseuro.pvbox.live:18912/5b1408f100084d6ada825c7c91f5af05.ts
FashionTV,p2p://fccsovh.pvbox.live:18912/5b1409dc00021a611a60a4af158b465d.ts#p2p://fccseuro.pvbox.live:18912/5b1409dc00021a611a60a4af158b465d.ts
東森超視,rtmp://59.124.75.130/sat/tv771
CN卡通頻道,p2p://fccsovh.pvbox.live:18912/5b593933000710c554e89c7ce9dd6bef.ts#p2p://fccseuro.pvbox.live:18912/5b593933000710c554e89c7ce9dd6bef.ts
CN卡通頻道,p2p://fccsovh.pvbox.live:18912/5b140917000efaac21db0941c02449d8.ts#p2p://fccseuro.pvbox.live:18912/5b140917000efaac21db0941c02449d8.ts
TLC旅遊生活頻道,p2p://fccsovh.pvbox.live:18912/5b13f6f10002d2ef87429e6d2f0f4a1b.ts#p2p://Disney,p2p://fccsovh.pvbox.live:18912/5b1409f30004f6ece892d1065e09745c.ts#p2p://fccseuro.pvbox.live:18912/5b1409f30004f6ece892d1065e09745c.ts
東森幼幼台,p2p://fccsovh.pvbox.live:18912/5b140a9a00071c28641ddb2252e4cebc.ts#p2p://fccseuro.pvbox.live:18912/5c724866000564111d5255b84de26a1c.ts#p2p://fccseuro.pvbox.live:18912/5b140a9a00071c28641ddb2252e4cebc.ts
美食星球,http://198.16.106.62:8278/streams/d/foodplanet_zero/playlist.m3u8
美食星球,p2p://fccsovh.pvbox.live:18912/5b140917000d8becd3fe4a0f85a8e193.ts#p2p://fccseuro.pvbox.live:18912/5b140917000d8becd3fe4a0f85a8e193.ts
FoodNetwork美食台,http://198.16.106.62:8278/streams/d/asiafood_zero/playlist.m3u8
